1	1	1	15.66	23.49	14	1	50
1	1	2	23.79	26.169	14	1	10
1	1	3	26.1	27.405	28	0	5
1	1	4	11.44	13.728	28	0	20
1	1	5	25.31	27.841	28	0	10
1	1	6	31.59	44.226	28	0	40
1	1	7	20.99	21.1999	14	0	1
1	1	8	28.38	28.6638	28	0	1
1	1	9	13.88	19.432	28	0	40
1	1	10	16.38	21.294	14	0	30
1	1	11	27.9	33.48	14	1	20
1	1	12	23.85	31.005	14	1	30
1	1	13	15.7	16.485	14	1	5
1	1	14	17.89	18.0689	28	1	1
1	1	15	14.92	22.38	28	0	50
1	1	16	28.3	29.715	14	1	5
1	1	17	30.16	42.224	28	1	40
1	1	18	24.79	29.748	28	1	20
1	1	19	20.31	26.403	14	1	30
1	1	20	32.81	36.091	14	0	10
1	2	1	23.8	35.7	14	0	50
1	2	2	21.59	23.749	14	0	10
1	2	3	18.22	19.131	28	1	5
1	2	4	17.54	21.048	28	0	20
1	2	5	27.69	30.459	28	0	10
1	2	6	26.71	37.394	28	1	40
1	2	7	12.48	12.6048	14	0	1
1	2	8	22.59	22.8159	28	0	1
1	2	9	14.39	20.146	28	1	40
1	2	10	30.2	39.26	14	1	30
1	2	11	31.79	38.148	14	0	20
1	2	12	17.29	22.477	14	0	30
1	2	13	22.43	23.5515	14	0	5
1	2	14	30.28	30.5828	28	0	1
1	2	15	21.38	32.07	28	1	50
1	2	16	16.93	17.7765	14	0	5
1	2	17	19.21	26.894	28	0	40
1	2	18	20.47	24.564	28	1	20
1	2	19	25.78	33.514	14	0	30
1	2	20	22.75	25.025	14	1	10
1	3	1	2100	2102.1	28	0	1
1	3	2	2400	2496	14	0	40
1	3	3	2300	2323	14	0	10
1	3	4	2800	2884	28	0	30
1	3	5	1800	1854	14	0	30
1	3	6	1400	1470	14	0	50
1	3	7	2400	2520	28	0	50
1	3	8	1800	1801.8	14	0	1
1	3	9	1500	1507.5	14	1	5
1	3	10	2800	2912	28	0	40
1	3	11	2500	2550	28	0	20
1	3	12	2100	2163	28	0	30
1	3	13	2000	2080	14	0	40
1	3	14	2000	2020	28	0	10
1	3	15	1900	1901.9	28	0	1
1	3	16	1400	1407	14	0	5
1	3	17	1800	1836	14	0	20
1	3	17	3000	3030	28	0	10
1	3	19	2100	2142	14	0	20
1	3	20	2700	2713.5	28	1	5
2	1	1	20.27	30.405	14	1	50
2	1	2	21.55	23.705	14	0	10
2	1	3	23.27	24.4335	28	1	5
2	1	4	15.18	18.216	28	1	20
2	1	5	22.02	24.222	28	1	10
2	1	6	28.47	39.858	28	0	40
2	1	7	21.1	21.311	14	1	1
2	1	8	22.59	22.8159	28	1	1
2	1	9	14.39	20.146	28	1	40
2	1	10	26.01	33.813	14	0	30
2	1	11	21.95	26.34	14	0	20
2	1	12	13.83	17.979	14	1	30
